experiment 1;surface bulk 2%;sample 1;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;;combined;;;;experiment 1;surface bulk 2%;sample 1;
;;grader;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;;nucelous ;myotubes;;;;;grader;nucelous 
;;-90;0.012066796;0.010889889;0.01159546;0.010566727;0.010711916;0.011011345;0.011054121;0.011100824;0.012425925;0.011155739;0.010589239;0.011716919;0.013005371;0.010756357;0.011045143;0.010749015;0.012615548;0.011683622;0.012860453;0.011468018;;0.011796997;0.011109846;;;;;-90;0.011796997
;;-88;0.009852406;0.009859372;0.009705489;0.00997703;0.009756891;0.010039103;0.010593422;0.010062074;0.009254415;0.010819504;0.010129044;0.010475401;0.010940776;0.010204523;0.009426413;0.010504559;0.010988613;0.010987465;0.009471326;0.010377114;;0.01001188;0.010330615;;;;;-88;0.01001188
;;-86;0.010090086;0.010483282;0.00979666;0.010100909;0.009164517;0.01043176;0.010822193;0.010262214;0.010138425;0.010436413;0.011177382;0.010855813;0.011184506;0.010070773;0.009322042;0.010090453;0.012030388;0.011374769;0.009987079;0.010779471;;0.010371328;0.010488586;;;;;-86;0.010371328
;;-84;0.010213987;0.010484532;0.010183698;0.010379505;0.00986964;0.010838298;0.010229186;0.010279322;0.010636053;0.010407301;0.012083802;0.011200771;0.011633965;0.009963187;0.009597533;0.010264224;0.009704788;0.010393993;0.010169324;0.010664702;;0.010432198;0.010487584;;;;;-84;0.010432198
;;-82;0.010836775;0.01063652;0.011524227;0.010398185;0.009618841;0.010850067;0.010404555;0.010127098;0.009907701;0.010175756;0.011558545;0.011786322;0.011064703;0.010019387;0.010148231;0.010090499;0.009243409;0.011106634;0.011815197;0.010799514;;0.010612218;0.010598998;;;;;-82;0.010612218
;;-80;0.010678657;0.010560716;0.010812011;0.010038887;0.010159157;0.011161615;0.010141677;0.010525943;0.011049855;0.009970347;0.012073899;0.01192148;0.01141307;0.010105387;0.010808527;0.009846097;0.009751315;0.01078363;0.010979394;0.010843352;;0.010786756;0.010575745;;;;;-80;0.010786756
;;-78;0.010367366;0.011182772;0.009897848;0.009930515;0.010732339;0.01113671;0.009133657;0.010102673;0.010928299;0.010439973;0.01270029;0.01168775;0.011293454;0.009967015;0.010322446;0.010046355;0.011037264;0.010401511;0.011276214;0.010892925;;0.010768918;0.01057882;;;;;-78;0.010768918
;;-76;0.010049709;0.011133457;0.010208091;0.010261496;0.010358461;0.011529372;0.009141277;0.010569708;0.012080552;0.009872689;0.010514845;0.011458691;0.010624805;0.010011194;0.010307893;0.010346269;0.010131908;0.010388266;0.011113346;0.010441649;;0.010453089;0.010601279;;;;;-76;0.010453089
;;-74;0.01098844;0.011211746;0.010550601;0.010592515;0.012070433;0.011513039;0.009709404;0.010546694;0.011018238;0.009914945;0.009990469;0.011689157;0.009925121;0.010015998;0.011339301;0.010094127;0.010260851;0.010778943;0.010820353;0.010566837;;0.010667321;0.0106924;;;;;-74;0.010667321
;;-72;0.01126337;0.010763914;0.010756967;0.010512361;0.011078876;0.011331613;0.010336691;0.010459346;0.010423983;0.009907127;0.010542269;0.012014359;0.011253607;0.009943771;0.011197806;0.010052279;0.009832654;0.010723869;0.010514436;0.010832144;;0.010720066;0.010654078;;;;;-72;0.010720066
;;-70;0.011917428;0.010878242;0.010762155;0.010340186;0.010530293;0.011280665;0.01048576;0.010711131;0.010999049;0.009656477;0.011144669;0.011620933;0.00995302;0.009848694;0.010755004;0.009964216;0.00956058;0.010051564;0.009974889;0.010315357;;0.010608285;0.010466747;;;;;-70;0.010608285
;;-68;0.012463437;0.010942253;0.010508057;0.010252048;0.010597224;0.011700744;0.010685721;0.010240367;0.011249321;0.009707637;0.012091375;0.011597632;0.009950704;0.009608198;0.010208818;0.010045058;0.010935312;0.009877517;0.00987007;0.010350524;;0.010856004;0.010432198;;;;;-68;0.010856004
;;-66;0.012395513;0.011083908;0.01007258;0.010073299;0.011023161;0.011991207;0.009658364;0.00998844;0.010791957;0.010216696;0.010349611;0.011396547;0.010113877;0.009752015;0.009716834;0.009796764;0.010451827;0.010415129;0.010202301;0.010554457;;0.010477603;0.010526846;;;;;-66;0.010477603
;;-64;0.010893632;0.010675453;0.009519708;0.010666477;0.011873369;0.012033575;0.008898573;0.009976741;0.011379643;0.010265112;0.010609192;0.012055348;0.009732895;0.010081285;0.010647902;0.009939556;0.009941384;0.010383439;0.010513376;0.010512105;;0.010400967;0.010658909;;;;;-64;0.010400967
;;-62;0.010206045;0.010447206;0.009183425;0.010884089;0.011008132;0.012780886;0.009926647;0.009965995;0.011310011;0.010308919;0.010035705;0.011869529;0.009862686;0.009829477;0.011017664;0.009942685;0.008598925;0.010432337;0.010229998;0.010280988;;0.010137924;0.010674211;;;;;-62;0.010137924
;;-60;0.010407748;0.010496942;0.010105852;0.010886922;0.010882841;0.012325696;0.009648418;0.009588047;0.010196467;0.010808446;0.010831624;0.012172989;0.010410457;0.009946698;0.011573181;0.01003882;0.009605589;0.010416844;0.010348973;0.010356314;;0.010401115;0.010703772;;;;;-60;0.010401115
;;-58;0.010570233;0.010903178;0.009842695;0.011167482;0.01018604;0.01221125;0.010614594;0.009926418;0.01034543;0.011016679;0.011049053;0.012113615;0.011690869;0.009944264;0.011329809;0.009754561;0.009376583;0.010231421;0.010623829;0.010050774;;0.010562914;0.010731964;;;;;-58;0.010562914
;;-56;0.010401154;0.011257471;0.010535364;0.011004401;0.009820797;0.011852843;0.009531495;0.010501905;0.010348191;0.01078329;0.011588963;0.011977365;0.011807884;0.009732332;0.010206989;0.009689837;0.009068987;0.010134879;0.010996755;0.010363088;;0.010430658;0.010729741;;;;;-56;0.010430658
;;-54;0.010273883;0.01070992;0.010920712;0.011341558;0.01019286;0.012267575;0.009780549;0.010257288;0.010800495;0.010347464;0.012387313;0.012526116;0.012160762;0.009668424;0.010658493;0.009831711;0.009787001;0.010223895;0.010408722;0.010215281;;0.010737079;0.010738923;;;;;-54;0.010737079
;;-52;0.011131298;0.010833714;0.010706362;0.011737917;0.010212461;0.01214972;0.010210223;0.009662953;0.011862179;0.010498597;0.012122068;0.012505633;0.011666163;0.009508813;0.010937141;0.010326817;0.009414285;0.010194017;0.011021344;0.010276326;;0.010928352;0.010769451;;;;;-52;0.010928352
;;-50;0.010350809;0.010676977;0.011249442;0.012397869;0.010479441;0.012336442;0.009804447;0.0095579;0.011896307;0.010946744;0.012156096;0.012309934;0.010941481;0.009598259;0.010672269;0.009886897;0.009750231;0.010419967;0.012070676;0.009805277;;0.01093712;0.010793627;;;;;-50;0.01093712
;;-48;0.010104959;0.010716535;0.012154746;0.012835247;0.011160054;0.011653187;0.010036733;0.00952727;0.01124692;0.010795582;0.011540475;0.012057667;0.010882779;0.010026936;0.011034343;0.009540205;0.010816983;0.010055095;0.010823312;0.009678267;;0.01098013;0.010688599;;;;;-48;0.01098013
;;-46;0.009758116;0.010355013;0.011674135;0.013694047;0.010694025;0.011410321;0.009929684;0.010045909;0.011464109;0.010762936;0.011086525;0.011808723;0.011285441;0.009892076;0.01103354;0.009877207;0.010590379;0.009885049;0.009193619;0.009396531;;0.010670957;0.010712781;;;;;-46;0.010670957
;;-44;0.009967847;0.010521089;0.011017991;0.016002432;0.010377308;0.011056892;0.009164636;0.010232371;0.011672987;0.010826244;0.010984108;0.012145573;0.011399173;0.009715094;0.010296592;0.010338643;0.008672679;0.009927706;0.009081902;0.009535621;;0.010263522;0.011030167;;;;;-44;0.010263522
;;-42;0.009991649;0.010333087;0.010821927;0.021098689;0.011026078;0.010882114;0.009384862;0.010167573;0.009932726;0.010133031;0.011421709;0.01193041;0.010891812;0.009518904;0.009451991;0.010002187;0.00866107;0.010179656;0.010133528;0.010007275;;0.010171735;0.011425293;;;;;-42;0.010171735
;;-40;0.010264949;0.010042227;0.012189436;0.022674005;0.010979547;0.010808901;0.010744367;0.009977148;0.010339744;0.009949527;0.011556734;0.011955457;0.010264954;0.009563343;0.010022306;0.010036443;0.010807911;0.00971261;0.010366185;0.009739143;;0.010753613;0.01144588;;;;;-40;0.010753613
;;-38;0.010327779;0.01065142;0.01142635;0.017853412;0.011753602;0.010258168;0.011025078;0.009880243;0.010608875;0.010140636;0.01317484;0.01220427;0.010742608;0.009859379;0.011046719;0.009886919;0.011020742;0.009666351;0.009894059;0.009465798;;0.011102065;0.01098666;;;;;-38;0.011102065
;;-36;0.010397296;0.010749416;0.009350348;0.015656738;0.012349802;0.010258109;0.010670534;0.009872609;0.009832243;0.00989598;0.013684042;0.011984233;0.011757151;0.010383761;0.010103981;0.009657511;0.010497846;0.010147395;0.011098385;0.009460162;;0.010974163;0.010806591;;;;;-36;0.010974163
;;-34;0.011535217;0.010546193;0.010373077;0.01311592;0.011996693;0.010023188;0.009856363;0.009747511;0.009810126;0.010006193;0.012362359;0.011120617;0.010738144;0.009989201;0.010436957;0.00988604;0.0093391;0.010125592;0.011539245;0.00953504;;0.010798728;0.01040955;;;;;-34;0.010798728
;;-32;0.011595235;0.010914852;0.010492525;0.011546398;0.012153361;0.009806158;0.010677986;0.009891124;0.009743677;0.010206299;0.011371348;0.011009088;0.010673384;0.00995199;0.010475507;0.009999436;0.01101204;0.009993026;0.011563176;0.009894609;;0.010975824;0.010321298;;;;;-32;0.010975824
;;-30;0.011621295;0.010667575;0.010265529;0.010991823;0.011515117;0.009852448;0.011492958;0.010362387;0.010329289;0.010243911;0.011869436;0.011056639;0.010603749;0.010175819;0.010554283;0.010084896;0.010745099;0.009906269;0.011030195;0.010404125;;0.011002695;0.010374589;;;;;-30;0.011002695
