grader;nucelous 
-90;0.011796997
-88;0.01001188
-86;0.010371328
-84;0.010432198
-82;0.010612218
-80;0.010786756
-78;0.010768918
-76;0.010453089
-74;0.010667321
-72;0.010720066
-70;0.010608285
-68;0.010856004
-66;0.010477603
-64;0.010400967
-62;0.010137924
-60;0.010401115
-58;0.010562914
-56;0.010430658
-54;0.010737079
-52;0.010928352
-50;0.01093712
-48;0.01098013
-46;0.010670957
-44;0.010263522
-42;0.010171735
-40;0.010753613
-38;0.011102065
-36;0.010974163
-34;0.010798728
-32;0.010975824
-30;0.011002695
-28;0.010601647
-26;0.011094474
-24;0.011044644
-22;0.010868523
-20;0.010290803
-18;0.010606148
-16;0.010955678
-14;0.010989234
-12;0.010931191
-10;0.011363541
-8;0.01100047
-6;0.011115547
-4;0.010994037
-2;0.010409432
0;0.011773605
2;0.010815787
4;0.011205823
6;0.010987178
8;0.011224852
10;0.01111229
12;0.011427218
14;0.011807581
16;0.011688922
18;0.011216497
20;0.011163932
22;0.011488776
24;0.011625097
26;0.011876445
28;0.011747098
30;0.011825241
32;0.012016788
34;0.011798313
36;0.011721782
38;0.011782018
40;0.011793336
42;0.011452384
44;0.011228833
46;0.011196548
48;0.011247344
50;0.011329611
52;0.011452744
54;0.011429852
56;0.011264229
58;0.011260653
60;0.011177499
62;0.0104846
64;0.01096868
66;0.011332405
68;0.011081902
70;0.011136474
72;0.010499568
74;0.010652173
76;0.010400278
78;0.010491072
80;0.010522102
82;0.010620597
84;0.010809797
86;0.010734897
88;0.010272597
90;0.011796997
